region,total,german,german_IC,french,french_IC,italian,italian_IC,romansh,romansh_IC,english,english_IC,portuguese,portuguese_IC,serbianCroatian,serbianCroatian_IC,albanian,albanian_IC,spanish,spanish_IC,turkish,turkish_IC,otherLanguages,otherLanguages_IC
AG,1.0,0.8635,0.006,0.0198,0.104,0.0507,0.065,0.0014,0.387,0.0551,0.063,0.0177,0.118,0.0351,0.081,0.0414,0.077,0.0144,0.127,0.0161,0.120,0.0599,0.062
AI,1.0,0.9491,0.028,NaN,NaN,0.0154,0.728,NaN,NaN,0.0326,0.537,0.0148,0.788,0.0115,0.865,NaN,NaN,0.0112,0.866,NaN,NaN,0.0267,0.617
AR,1.0,0.9079,0.017,0.0112,0.518,0.0225,0.368,NaN,NaN,0.0465,0.253,0.0104,0.558,0.0383,0.280,0.0116,0.541,0.0133,0.468,0.0094,0.589,0.0485,0.264
BE,1.0,0.8368,0.005,0.1098,0.033,0.0315,0.064,0.0009,0.356,0.0441,0.053,0.0168,0.094,0.0148,0.096,0.0196,0.088,0.0173,0.086,0.0073,0.140,0.0571,0.049
BL,1.0,0.8618,0.009,0.0325,0.123,0.0552,0.095,0.0011,0.683,0.0670,0.086,0.0102,0.236,0.0231,0.153,0.0241,0.159,0.0196,0.163,0.0242,0.152,0.0607,0.092
BS,1.0,0.7682,0.016,0.0504,0.128,0.0615,0.114,0.0016,0.688,0.1211,0.080,0.0223,0.204,0.0304,0.173,0.0352,0.170,0.0402,0.147,0.0374,0.160,0.0956,0.094
FR,1.0,0.2606,0.036,0.6904,0.015,0.0241,0.138,0.0006,0.864,0.0389,0.111,0.0775,0.080,0.0080,0.253,0.0203,0.169,0.0185,0.163,0.0074,0.273,0.0451,0.105
GE,1.0,0.0401,0.062,0.7964,0.007,0.0640,0.050,0.0008,0.463,0.1216,0.037,0.0940,0.043,0.0088,0.144,0.0231,0.094,0.0750,0.048,0.0062,0.171,0.0898,0.044
GL,1.0,0.8647,0.024,0.0122,0.558,0.0548,0.255,0.0060,0.789,0.0400,0.310,0.0288,0.376,0.0289,0.369,0.0401,0.310,0.0136,0.537,0.0114,0.589,0.0534,0.279
GR,1.0,0.7524,0.016,0.0135,0.232,0.1323,0.071,0.1471,0.065,0.0342,0.150,0.0439,0.136,0.0156,0.222,0.0077,0.329,0.0100,0.279,0.0021,0.617,0.0411,0.138
JU,1.0,0.0745,0.157,0.8975,0.016,0.0252,0.272,NaN,NaN,0.0230,0.306,0.0234,0.309,0.0071,0.565,0.0169,0.369,0.0222,0.307,0.0032,0.794,0.0354,0.256
LU,1.0,0.8861,0.005,0.0163,0.104,0.0333,0.073,0.0020,0.304,0.0459,0.063,0.0224,0.095,0.0305,0.080,0.0370,0.075,0.0153,0.111,0.0056,0.195,0.0538,0.060
NE,1.0,0.0472,0.090,0.8772,0.008,0.0568,0.083,NaN,NaN,0.0462,0.095,0.0777,0.073,0.0112,0.201,0.0130,0.196,0.0286,0.120,0.0067,0.270,0.0468,0.096
NW,1.0,0.9063,0.019,0.0164,0.442,0.0323,0.325,NaN,NaN,0.0542,0.250,0.0237,0.402,0.0183,0.433,0.0142,0.530,0.0062,0.805,NaN,NaN,0.0388,0.295
OW,1.0,0.9201,0.020,0.0147,0.516,0.0122,0.559,0.0056,0.871,0.0348,0.339,0.0282,0.394,0.0087,0.642,0.0151,0.537,NaN,NaN,0.0073,0.735,0.0358,0.347
SG,1.0,0.8766,0.006,0.0128,0.152,0.0353,0.092,0.0036,0.279,0.0412,0.085,0.0153,0.146,0.0390,0.088,0.0476,0.081,0.0123,0.157,0.0093,0.182,0.0560,0.074
SH,1.0,0.8680,0.017,0.0177,0.316,0.0388,0.212,NaN,NaN,0.0519,0.182,0.0138,0.371,0.0369,0.226,0.0319,0.249,0.0152,0.340,0.0151,0.353,0.0705,0.158
SO,1.0,0.8714,0.009,0.0294,0.134,0.0479,0.107,0.0018,0.567,0.0428,0.115,0.0100,0.248,0.0280,0.146,0.0422,0.123,0.0108,0.231,0.0211,0.171,0.0585,0.100
SZ,1.0,0.8832,0.011,0.0188,0.219,0.0350,0.163,0.0028,0.582,0.0634,0.120,0.0126,0.286,0.0276,0.191,0.0283,0.193,0.0082,0.342,0.0037,0.501,0.0576,0.134
TG,1.0,0.8910,0.008,0.0127,0.203,0.0368,0.120,0.0014,0.611,0.0387,0.119,0.0204,0.170,0.0220,0.160,0.0440,0.116,0.0122,0.214,0.0117,0.219,0.0481,0.111
TI,1.0,0.1022,0.042,0.0470,0.064,0.8860,0.005,0.0014,0.381,0.0387,0.073,0.0246,0.093,0.0272,0.088,0.0101,0.151,0.0237,0.094,0.0028,0.283,0.0370,0.077
UR,1.0,0.9343,0.018,NaN,NaN,0.0140,0.538,NaN,NaN,0.0329,0.356,0.0176,0.504,0.0254,0.400,0.0079,0.730,0.0077,0.811,0.0103,0.642,0.0312,0.370
VD,1.0,0.0549,0.039,0.8257,0.004,0.0498,0.042,0.0005,0.450,0.0891,0.032,0.0797,0.035,0.0159,0.079,0.0228,0.069,0.0403,0.048,0.0058,0.132,0.0677,0.038
VS,1.0,0.2459,0.036,0.6784,0.014,0.0457,0.095,NaN,NaN,0.0385,0.107,0.0801,0.075,0.0130,0.184,0.0173,0.165,0.0169,0.162,0.0017,0.523,0.0344,0.116
ZG,1.0,0.8035,0.012,0.0344,0.126,0.0433,0.112,0.0018,0.549,0.1215,0.066,0.0225,0.166,0.0374,0.127,0.0205,0.180,0.0220,0.162,0.0111,0.241,0.0898,0.080
ZH,1.0,0.8067,0.005,0.0333,0.055,0.0565,0.042,0.0027,0.192,0.0950,0.032,0.0244,0.068,0.0296,0.060,0.0337,0.058,0.0294,0.060,0.0145,0.087,0.0849,0.035
CH,1.0,0.6268,0.002,0.2279,0.004,0.0828,0.010,0.0051,0.055,0.0652,0.015,0.0354,0.020,0.0235,0.026,0.0282,0.025,0.0244,0.024,0.0105,0.041,0.0628,0.016
