region,total,1personHousehold,2personHousehold,3personHousehold,4personHousehold,5personHousehold,6+personHousehold,averageSizeHousehold
AG,1.0,0.314,0.3539,0.1344,0.1368,0.0444,0.0165,2.3
AI,1.0,0.3017,0.3227,0.1226,0.1352,0.0855,0.0323,2.49
AR,1.0,0.3323,0.3398,0.1284,0.1239,0.0522,0.0234,2.3
BE,1.0,0.3636,0.3481,0.1193,0.115,0.0389,0.015,2.17
BL,1.0,0.3262,0.362,0.1336,0.1271,0.0387,0.0124,2.23
BS,1.0,0.4694,0.293,0.1116,0.0866,0.0285,0.0109,1.95
FR,1.0,0.3006,0.3157,0.1509,0.1581,0.0553,0.0194,2.42
GE,1.0,0.3774,0.2548,0.1504,0.1308,0.0518,0.0348,2.36
GL,1.0,0.3476,0.3342,0.1302,0.1319,0.0408,0.0154,2.24
GR,1.0,0.3791,0.3248,0.1253,0.1198,0.0392,0.0118,2.16
JU,1.0,0.34,0.3195,0.1323,0.1355,0.0536,0.0191,2.31
LU,1.0,0.3337,0.3361,0.1259,0.1353,0.0499,0.0192,2.3
NE,1.0,0.3862,0.3051,0.1318,0.1268,0.038,0.0122,2.17
NW,1.0,0.3231,0.3631,0.1256,0.1297,0.0438,0.0148,2.26
OW,1.0,0.3194,0.334,0.1304,0.1438,0.0509,0.0215,2.35
SG,1.0,0.3407,0.332,0.1259,0.13,0.0503,0.021,2.29
SH,1.0,0.3656,0.3426,0.1215,0.1153,0.0396,0.0153,2.17
SO,1.0,0.337,0.3526,0.1308,0.1216,0.0418,0.0161,2.24
SZ,1.0,0.316,0.3468,0.1328,0.1364,0.0493,0.0188,2.32
TG,1.0,0.322,0.3466,0.132,0.133,0.0471,0.0193,2.3
TI,1.0,0.3862,0.3007,0.1476,0.1212,0.0348,0.0097,2.15
UR,1.0,0.3059,0.3523,0.1204,0.1436,0.0581,0.0196,2.36
VD,1.0,0.3604,0.2999,0.1446,0.1354,0.0433,0.0165,2.26
VS,1.0,0.3465,0.3141,0.1417,0.135,0.0461,0.0166,2.28
ZG,1.0,0.3189,0.3438,0.1362,0.1417,0.0459,0.0136,2.3
ZH,1.0,0.3632,0.3309,0.1301,0.1221,0.0386,0.0151,2.2
CH,1.0,0.3531,0.327,0.1326,0.1273,0.043,0.0169,2.24