canton,population,equids,equids_1000,vehicles,vehicles_1000,sales
AG,694072,8909,12.84,404417,582.67,12568.6
AI,16293,223,13.69,9937,609.89,0
AR,55309,707,12.78,32161,581.48,648.66
BE,1043132,19571,18.76,541507,519.12,32322.58
BL,290969,2660,9.14,150347,516.71,3739.04
BS,196735,90,0.46,64504,327.87,814.5
FR,325496,6527,20.05,190922,586.56,53357.48
GE,506343,2042,4.03,218952,432.42,14331.04
GL,40851,408,9.99,24008,587.70,715.05
GR,200096,4807,24.02,114824,573.84,4147.12
JU,73709,5224,70.87,44052,597.65,6842.63
LU,416347,5763,13.84,219577,527.39,7453.96
NE,175894,2441,13.88,96835,550.53,11972.29
NW,43520,236,5.42,27310,627.53,703.05
OW,38108,496,13.02,23117,606.62,751.5
SG,514504,6586,12.80,286099,556.07,10835.95
SH,83107,1087,13.08,46634,561.13,1008.9
SO,277462,4335,15.62,160717,579.24,8024.53
SZ,162157,1645,10.14,104485,644.34,7917.34
TG,282909,5724,20.23,176961,625.51,4103.25
TI,350986,2729,7.78,222391,633.62,1524.45
UR,36819,169,4.59,20337,552.35,0
VD,814762,9224,11.32,420332,515.90,70982.95
VS,348503,3990,11.45,223780,642.12,29245.11
ZG,128794,1123,8.72,89070,691.57,9990.52
ZH,1553423,11977,7.71,745059,479.62,25942.35